Id,Label,intro,rank
13934589,嗨氏丶,新浪微博：嗨氏 商务合作邮箱：404433724@qq.com,95.86301648540741
1532165,papi酱,微博关注：papi酱 微信订阅：dapapi,64.34287696190637
883968,暴走漫画,"搞笑是我们的基因，不吐槽浑身难受，王尼玛和暴走家族一起承包你的笑点,订阅我们，一起玩耍吧，微博@王尼玛、暴走漫画",56.40796419836043
122879,敖厂长,观看已经被和谐的囧的呼唤:youtube.com/c/hawkaoaoful,42.47952424458062
777536,LexBurner,"新浪微博：http://weibo.com/lexburner
",39.30959020730626
4162287,渗透之C君,微博@渗透之C菌 weibo.com/roshinichi 谢谢你喜欢我!,34.77314480460237
375375,伊丽莎白鼠,一个热爱鬼畜的普通人。微博：@伊丽莎白鼠  weibo.com/LittleWhiteMouse,34.05475379027212
43389575,凤凰天使TSKS韩剧社官方账号,凤凰天使TSKS唯一官方哔哩哔哩在线账号哟~,32.34838119327193
8578857,谷阿莫,來這邊只是聽我說一個我喜歡的故事，我不評論故事原本的含意或導演拍攝的用意，因為那些東西每個人都有不同的看法，謝謝,30.587543253770484
1565155,起小点是大腿,微博：@起小点是大腿 微信：是大腿 合作邮箱：bd@shidatui.com 意见邮箱：jiemu@shidatui.com,29.559412241261573
